cell_type	f1	count_rep1	count_rep2	depth	method	seed1	seed2	comparison
L2/3-6 intratelencephalic projecting glutamatergic neuron	0.5967741935483871	454	414	250	scvi	42	123	rep1_vs_rep2
L5 extratelencephalic projecting glutamatergic cortical neuron	0.0	0	0	250	scvi	42	123	rep1_vs_rep2
L6 corticothalamic-projecting glutamatergic cortical neuron	0.308411214953271	136	78	250	scvi	42	123	rep1_vs_rep2
L6b glutamatergic cortical neuron	0.15384615384615385	33	45	250	scvi	42	123	rep1_vs_rep2
astrocyte	0.9164086687306502	153	170	250	scvi	42	123	rep1_vs_rep2
caudal ganglionic eminence derived GABAergic cortical interneuron	0.1111111111111111	19	17	250	scvi	42	123	rep1_vs_rep2
endothelial cell	0.7619047619047619	11	10	250	scvi	42	123	rep1_vs_rep2
lamp5 GABAergic cortical interneuron	0.21333333333333335	28	47	250	scvi	42	123	rep1_vs_rep2
microglial cell	0.9694915254237289	150	145	250	scvi	42	123	rep1_vs_rep2
near-projecting glutamatergic cortical neuron	0.0	1	5	250	scvi	42	123	rep1_vs_rep2
oligodendrocyte	0.8498583569405099	167	186	250	scvi	42	123	rep1_vs_rep2
oligodendrocyte precursor cell	0.693069306930693	90	112	250	scvi	42	123	rep1_vs_rep2
pericyte	0.4	3	2	250	scvi	42	123	rep1_vs_rep2
pvalb GABAergic cortical interneuron	0.0	20	16	250	scvi	42	123	rep1_vs_rep2
sst GABAergic cortical interneuron	0.5641025641025641	390	390	250	scvi	42	123	rep1_vs_rep2
vascular leptomeningeal cell	0.0	0	0	250	scvi	42	123	rep1_vs_rep2
vip GABAergic cortical interneuron	0.6156156156156156	324	342	250	scvi	42	123	rep1_vs_rep2
L2/3-6 intratelencephalic projecting glutamatergic neuron	0.4470198675496689	454	150	250	scvi	42	123	rep1_vs_original
L5 extratelencephalic projecting glutamatergic cortical neuron	0.0	0	47	250	scvi	42	123	rep1_vs_original
L6 corticothalamic-projecting glutamatergic cortical neuron	0.42657342657342656	136	150	250	scvi	42	123	rep1_vs_original
L6b glutamatergic cortical neuron	0.20765027322404372	33	150	250	scvi	42	123	rep1_vs_original
astrocyte	0.9174917491749175	153	150	250	scvi	42	123	rep1_vs_original
caudal ganglionic eminence derived GABAergic cortical interneuron	0.13675213675213677	19	98	250	scvi	42	123	rep1_vs_original
endothelial cell	0.6875	11	21	250	scvi	42	123	rep1_vs_original
lamp5 GABAergic cortical interneuron	0.29213483146067415	28	150	250	scvi	42	123	rep1_vs_original
microglial cell	0.98	150	150	250	scvi	42	123	rep1_vs_original
near-projecting glutamatergic cortical neuron	0.013245033112582781	1	150	250	scvi	42	123	rep1_vs_original
oligodendrocyte	0.9274447949526814	167	150	250	scvi	42	123	rep1_vs_original
oligodendrocyte precursor cell	0.75	90	150	250	scvi	42	123	rep1_vs_original
pericyte	0.46153846153846156	3	10	250	scvi	42	123	rep1_vs_original
pvalb GABAergic cortical interneuron	0.16470588235294117	20	150	250	scvi	42	123	rep1_vs_original
sst GABAergic cortical interneuron	0.4777777777777778	390	150	250	scvi	42	123	rep1_vs_original
vascular leptomeningeal cell	0.0	0	3	250	scvi	42	123	rep1_vs_original
vip GABAergic cortical interneuron	0.5780590717299579	324	150	250	scvi	42	123	rep1_vs_original
L2/3-6 intratelencephalic projecting glutamatergic neuron	0.475177304964539	414	150	250	scvi	42	123	rep2_vs_original
L5 extratelencephalic projecting glutamatergic cortical neuron	0.0	0	47	250	scvi	42	123	rep2_vs_original
L6 corticothalamic-projecting glutamatergic cortical neuron	0.30701754385964913	78	150	250	scvi	42	123	rep2_vs_original
L6b glutamatergic cortical neuron	0.3282051282051282	45	150	250	scvi	42	123	rep2_vs_original
astrocyte	0.91875	170	150	250	scvi	42	123	rep2_vs_original
caudal ganglionic eminence derived GABAergic cortical interneuron	0.10434782608695652	17	98	250	scvi	42	123	rep2_vs_original
endothelial cell	0.6451612903225806	10	21	250	scvi	42	123	rep2_vs_original
lamp5 GABAergic cortical interneuron	0.4365482233502538	47	150	250	scvi	42	123	rep2_vs_original
microglial cell	0.9830508474576272	145	150	250	scvi	42	123	rep2_vs_original
near-projecting glutamatergic cortical neuron	0.06451612903225806	5	150	250	scvi	42	123	rep2_vs_original
oligodendrocyte	0.8869047619047619	186	150	250	scvi	42	123	rep2_vs_original
oligodendrocyte precursor cell	0.8549618320610687	112	150	250	scvi	42	123	rep2_vs_original
pericyte	0.3333333333333333	2	10	250	scvi	42	123	rep2_vs_original
pvalb GABAergic cortical interneuron	0.1686746987951807	16	150	250	scvi	42	123	rep2_vs_original
sst GABAergic cortical interneuron	0.5074074074074074	390	150	250	scvi	42	123	rep2_vs_original
vascular leptomeningeal cell	0.0	0	3	250	scvi	42	123	rep2_vs_original
vip GABAergic cortical interneuron	0.573170731707317	342	150	250	scvi	42	123	rep2_vs_original
