cell_type	f1	count_rep1	count_rep2	depth	method	seed1	seed2	comparison
L2/3-6 intratelencephalic projecting glutamatergic neuron	0.39408866995073893	808	410	50	scvi	42	123	rep1_vs_rep2
L5 extratelencephalic projecting glutamatergic cortical neuron	0.0	0	0	50	scvi	42	123	rep1_vs_rep2
L6 corticothalamic-projecting glutamatergic cortical neuron	0.0	3	0	50	scvi	42	123	rep1_vs_rep2
L6b glutamatergic cortical neuron	0.0	0	1	50	scvi	42	123	rep1_vs_rep2
astrocyte	0.3187250996015936	105	146	50	scvi	42	123	rep1_vs_rep2
caudal ganglionic eminence derived GABAergic cortical interneuron	0.0	0	0	50	scvi	42	123	rep1_vs_rep2
endothelial cell	0.0	0	0	50	scvi	42	123	rep1_vs_rep2
lamp5 GABAergic cortical interneuron	0.0	0	4	50	scvi	42	123	rep1_vs_rep2
microglial cell	0.0	10	6	50	scvi	42	123	rep1_vs_rep2
near-projecting glutamatergic cortical neuron	0.0	0	0	50	scvi	42	123	rep1_vs_rep2
oligodendrocyte	0.5518694049499737	727	1172	50	scvi	42	123	rep1_vs_rep2
oligodendrocyte precursor cell	0.0	0	0	50	scvi	42	123	rep1_vs_rep2
pericyte	0.0	0	0	50	scvi	42	123	rep1_vs_rep2
pvalb GABAergic cortical interneuron	0.0	0	0	50	scvi	42	123	rep1_vs_rep2
sst GABAergic cortical interneuron	0.21145374449339208	266	188	50	scvi	42	123	rep1_vs_rep2
vascular leptomeningeal cell	0.0	0	0	50	scvi	42	123	rep1_vs_rep2
vip GABAergic cortical interneuron	0.03571428571428571	60	52	50	scvi	42	123	rep1_vs_rep2
L2/3-6 intratelencephalic projecting glutamatergic neuron	0.22755741127348644	808	150	50	scvi	42	123	rep1_vs_original
L5 extratelencephalic projecting glutamatergic cortical neuron	0.0	0	47	50	scvi	42	123	rep1_vs_original
L6 corticothalamic-projecting glutamatergic cortical neuron	0.013071895424836602	3	150	50	scvi	42	123	rep1_vs_original
L6b glutamatergic cortical neuron	0.0	0	150	50	scvi	42	123	rep1_vs_original
astrocyte	0.4392156862745098	105	150	50	scvi	42	123	rep1_vs_original
caudal ganglionic eminence derived GABAergic cortical interneuron	0.0	0	98	50	scvi	42	123	rep1_vs_original
endothelial cell	0.0	0	21	50	scvi	42	123	rep1_vs_original
lamp5 GABAergic cortical interneuron	0.0	0	150	50	scvi	42	123	rep1_vs_original
microglial cell	0.125	10	150	50	scvi	42	123	rep1_vs_original
near-projecting glutamatergic cortical neuron	0.0	0	150	50	scvi	42	123	rep1_vs_original
oligodendrocyte	0.3215507411630559	727	150	50	scvi	42	123	rep1_vs_original
oligodendrocyte precursor cell	0.0	0	150	50	scvi	42	123	rep1_vs_original
pericyte	0.0	0	10	50	scvi	42	123	rep1_vs_original
pvalb GABAergic cortical interneuron	0.0	0	150	50	scvi	42	123	rep1_vs_original
sst GABAergic cortical interneuron	0.2692307692307692	266	150	50	scvi	42	123	rep1_vs_original
vascular leptomeningeal cell	0.0	0	3	50	scvi	42	123	rep1_vs_original
vip GABAergic cortical interneuron	0.23809523809523808	60	150	50	scvi	42	123	rep1_vs_original
L2/3-6 intratelencephalic projecting glutamatergic neuron	0.22857142857142856	410	150	50	scvi	42	123	rep2_vs_original
L5 extratelencephalic projecting glutamatergic cortical neuron	0.0	0	47	50	scvi	42	123	rep2_vs_original
L6 corticothalamic-projecting glutamatergic cortical neuron	0.0	0	150	50	scvi	42	123	rep2_vs_original
L6b glutamatergic cortical neuron	0.013245033112582781	1	150	50	scvi	42	123	rep2_vs_original
astrocyte	0.47297297297297297	146	150	50	scvi	42	123	rep2_vs_original
caudal ganglionic eminence derived GABAergic cortical interneuron	0.0	0	98	50	scvi	42	123	rep2_vs_original
endothelial cell	0.0	0	21	50	scvi	42	123	rep2_vs_original
lamp5 GABAergic cortical interneuron	0.012987012987012988	4	150	50	scvi	42	123	rep2_vs_original
microglial cell	0.07692307692307693	6	150	50	scvi	42	123	rep2_vs_original
near-projecting glutamatergic cortical neuron	0.0	0	150	50	scvi	42	123	rep2_vs_original
oligodendrocyte	0.2254160363086233	1172	150	50	scvi	42	123	rep2_vs_original
oligodendrocyte precursor cell	0.0	0	150	50	scvi	42	123	rep2_vs_original
pericyte	0.0	0	10	50	scvi	42	123	rep2_vs_original
pvalb GABAergic cortical interneuron	0.0	0	150	50	scvi	42	123	rep2_vs_original
sst GABAergic cortical interneuron	0.24260355029585798	188	150	50	scvi	42	123	rep2_vs_original
vascular leptomeningeal cell	0.0	0	3	50	scvi	42	123	rep2_vs_original
vip GABAergic cortical interneuron	0.18811881188118812	52	150	50	scvi	42	123	rep2_vs_original
