target_depth	seed	n_cells	total_genes	original_avg_counts_per_cell	downsampled_avg_counts_per_cell	original_avg_genes_per_cell	downsampled_avg_genes_per_cell	original_median_genes_per_cell	downsampled_median_genes_per_cell	original_total_genes_detected	downsampled_total_genes_detected
1000.0	123	1979	27158	1285958.2	1000.0	6439.533097524002	644.9686710459828	6601.0	659.0	27090	20636
5000.0	123	1979	27158	1285958.2	5000.0	6439.533097524002	1795.144012127337	6601.0	1938.0	27090	24201
15000.0	42	1979	27158	1285958.2	15000.0	6439.533097524002	2842.211723092471	6601.0	3088.0	27090	25809
100000.0	42	1979	27158	1285958.2	100000.0	6439.533097524002	4294.386053562405	6601.0	4510.0	27090	26851
10000.0	123	1979	27158	1285958.2	10000.0	6439.533097524002	2455.296614451743	6601.0	2666.0	27090	25246
25000.0	123	1979	27158	1285958.2	25000.0	6439.533097524002	3299.8029307731176	6601.0	3558.0	27090	26253
25000.0	42	1979	27158	1285958.2	25000.0	6439.533097524002	3300.068216270844	6601.0	3563.0	27090	26295
50000.0	42	1979	27158	1285958.2	50000.0	6439.533097524002	3839.4482061647295	6601.0	4082.0	27090	26670
50.0	123	1979	27158	1285958.2	50.0	6439.533097524002	46.367862556846895	6601.0	47.0	27090	12425
5000.0	42	1979	27158	1285958.2	5000.0	6439.533097524002	1795.0909550277918	6601.0	1936.0	27090	24202
1000.0	42	1979	27158	1285958.2	1000.0	6439.533097524002	644.6836786255685	6601.0	658.0	27090	20704
50.0	42	1979	27158	1285958.2	50.0	6439.533097524002	46.4522486104093	6601.0	47.0	27090	12396
100000.0	123	1979	27158	1285958.2	100000.0	6439.533097524002	4295.171298635674	6601.0	4520.0	27090	26859
15000.0	123	1979	27158	1285958.2	15000.0	6439.533097524002	2843.490651844366	6601.0	3087.0	27090	25794
50000.0	123	1979	27158	1285958.2	50000.0	6439.533097524002	3840.4492167761496	6601.0	4090.0	27090	26680
10000.0	42	1979	27158	1285958.2	10000.0	6439.533097524002	2455.989388580091	6601.0	2663.0	27090	25367
