cell_type	f1	count_rep1	count_rep2	depth	method	seed1	seed2	comparison
L2/3-6 intratelencephalic projecting glutamatergic neuron	0.7700831024930748	172	189	250	seurat	123	42	rep1_vs_rep2
L5 extratelencephalic projecting glutamatergic cortical neuron	0.6578947368421053	42	34	250	seurat	123	42	rep1_vs_rep2
L6 corticothalamic-projecting glutamatergic cortical neuron	0.6578947368421053	153	151	250	seurat	123	42	rep1_vs_rep2
L6b glutamatergic cortical neuron	0.6441717791411042	167	159	250	seurat	123	42	rep1_vs_rep2
astrocyte	0.975609756097561	145	142	250	seurat	123	42	rep1_vs_rep2
caudal ganglionic eminence derived GABAergic cortical interneuron	0.8066298342541437	88	93	250	seurat	123	42	rep1_vs_rep2
endothelial cell	0.8235294117647058	24	27	250	seurat	123	42	rep1_vs_rep2
lamp5 GABAergic cortical interneuron	0.8551724137931035	151	139	250	seurat	123	42	rep1_vs_rep2
microglial cell	0.9931972789115646	147	147	250	seurat	123	42	rep1_vs_rep2
near-projecting glutamatergic cortical neuron	0.903448275862069	149	141	250	seurat	123	42	rep1_vs_rep2
oligodendrocyte	0.9863013698630136	148	144	250	seurat	123	42	rep1_vs_rep2
oligodendrocyte precursor cell	0.9759450171821306	147	144	250	seurat	123	42	rep1_vs_rep2
pericyte	0.9473684210526315	10	9	250	seurat	123	42	rep1_vs_rep2
pvalb GABAergic cortical interneuron	0.8802395209580839	160	174	250	seurat	123	42	rep1_vs_rep2
sst GABAergic cortical interneuron	0.8698884758364313	130	139	250	seurat	123	42	rep1_vs_rep2
vascular leptomeningeal cell	0.5	1	3	250	seurat	123	42	rep1_vs_rep2
vip GABAergic cortical interneuron	0.8373702422145328	145	144	250	seurat	123	42	rep1_vs_rep2
L2/3-6 intratelencephalic projecting glutamatergic neuron	0.8695652173913043	172	150	250	seurat	123	42	rep1_vs_original
L5 extratelencephalic projecting glutamatergic cortical neuron	0.8764044943820225	42	47	250	seurat	123	42	rep1_vs_original
L6 corticothalamic-projecting glutamatergic cortical neuron	0.7788778877887789	153	150	250	seurat	123	42	rep1_vs_original
L6b glutamatergic cortical neuron	0.7444794952681388	167	150	250	seurat	123	42	rep1_vs_original
astrocyte	0.9830508474576272	145	150	250	seurat	123	42	rep1_vs_original
caudal ganglionic eminence derived GABAergic cortical interneuron	0.8602150537634409	88	98	250	seurat	123	42	rep1_vs_original
endothelial cell	0.8888888888888888	24	21	250	seurat	123	42	rep1_vs_original
lamp5 GABAergic cortical interneuron	0.9102990033222591	151	150	250	seurat	123	42	rep1_vs_original
microglial cell	0.98989898989899	147	150	250	seurat	123	42	rep1_vs_original
near-projecting glutamatergic cortical neuron	0.9431438127090301	149	150	250	seurat	123	42	rep1_vs_original
oligodendrocyte	0.9865771812080537	148	150	250	seurat	123	42	rep1_vs_original
oligodendrocyte precursor cell	0.9831649831649831	147	150	250	seurat	123	42	rep1_vs_original
pericyte	1.0	10	10	250	seurat	123	42	rep1_vs_original
pvalb GABAergic cortical interneuron	0.9096774193548387	160	150	250	seurat	123	42	rep1_vs_original
sst GABAergic cortical interneuron	0.8857142857142857	130	150	250	seurat	123	42	rep1_vs_original
vascular leptomeningeal cell	0.5	1	3	250	seurat	123	42	rep1_vs_original
vip GABAergic cortical interneuron	0.9016949152542373	145	150	250	seurat	123	42	rep1_vs_original
L2/3-6 intratelencephalic projecting glutamatergic neuron	0.8259587020648967	189	150	250	seurat	123	42	rep2_vs_original
L5 extratelencephalic projecting glutamatergic cortical neuron	0.7407407407407407	34	47	250	seurat	123	42	rep2_vs_original
L6 corticothalamic-projecting glutamatergic cortical neuron	0.7574750830564784	151	150	250	seurat	123	42	rep2_vs_original
L6b glutamatergic cortical neuron	0.7637540453074434	159	150	250	seurat	123	42	rep2_vs_original
astrocyte	0.9726027397260274	142	150	250	seurat	123	42	rep2_vs_original
caudal ganglionic eminence derived GABAergic cortical interneuron	0.900523560209424	93	98	250	seurat	123	42	rep2_vs_original
endothelial cell	0.8333333333333334	27	21	250	seurat	123	42	rep2_vs_original
lamp5 GABAergic cortical interneuron	0.9204152249134948	139	150	250	seurat	123	42	rep2_vs_original
microglial cell	0.98989898989899	147	150	250	seurat	123	42	rep2_vs_original
near-projecting glutamatergic cortical neuron	0.9484536082474226	141	150	250	seurat	123	42	rep2_vs_original
oligodendrocyte	0.9795918367346939	144	150	250	seurat	123	42	rep2_vs_original
oligodendrocyte precursor cell	0.9727891156462585	144	150	250	seurat	123	42	rep2_vs_original
pericyte	0.9473684210526315	9	10	250	seurat	123	42	rep2_vs_original
pvalb GABAergic cortical interneuron	0.9012345679012346	174	150	250	seurat	123	42	rep2_vs_original
sst GABAergic cortical interneuron	0.9134948096885813	139	150	250	seurat	123	42	rep2_vs_original
vascular leptomeningeal cell	1.0	3	3	250	seurat	123	42	rep2_vs_original
vip GABAergic cortical interneuron	0.9047619047619048	144	150	250	seurat	123	42	rep2_vs_original
