cell_type	f1	count_rep1	count_rep2	depth	method	seed1	seed2	comparison
L2/3-6 intratelencephalic projecting glutamatergic neuron	0.9966777408637874	151	150	25000	scvi	42	123	rep1_vs_rep2
L5 extratelencephalic projecting glutamatergic cortical neuron	0.967032967032967	45	46	25000	scvi	42	123	rep1_vs_rep2
L6 corticothalamic-projecting glutamatergic cortical neuron	0.9550173010380623	147	142	25000	scvi	42	123	rep1_vs_rep2
L6b glutamatergic cortical neuron	0.9650793650793651	155	160	25000	scvi	42	123	rep1_vs_rep2
astrocyte	0.993421052631579	151	153	25000	scvi	42	123	rep1_vs_rep2
caudal ganglionic eminence derived GABAergic cortical interneuron	0.9850746268656716	101	100	25000	scvi	42	123	rep1_vs_rep2
endothelial cell	1.0	21	21	25000	scvi	42	123	rep1_vs_rep2
lamp5 GABAergic cortical interneuron	0.9965870307167235	146	147	25000	scvi	42	123	rep1_vs_rep2
microglial cell	1.0	150	150	25000	scvi	42	123	rep1_vs_rep2
near-projecting glutamatergic cortical neuron	1.0	149	149	25000	scvi	42	123	rep1_vs_rep2
oligodendrocyte	0.9933333333333333	151	149	25000	scvi	42	123	rep1_vs_rep2
oligodendrocyte precursor cell	1.0	150	150	25000	scvi	42	123	rep1_vs_rep2
pericyte	1.0	9	9	25000	scvi	42	123	rep1_vs_rep2
pvalb GABAergic cortical interneuron	1.0	156	156	25000	scvi	42	123	rep1_vs_rep2
sst GABAergic cortical interneuron	0.993103448275862	145	145	25000	scvi	42	123	rep1_vs_rep2
vascular leptomeningeal cell	1.0	2	2	25000	scvi	42	123	rep1_vs_rep2
vip GABAergic cortical interneuron	0.9866666666666667	150	150	25000	scvi	42	123	rep1_vs_rep2
L2/3-6 intratelencephalic projecting glutamatergic neuron	0.9966777408637874	151	150	25000	scvi	42	123	rep1_vs_original
L5 extratelencephalic projecting glutamatergic cortical neuron	0.9782608695652174	45	47	25000	scvi	42	123	rep1_vs_original
L6 corticothalamic-projecting glutamatergic cortical neuron	0.936026936026936	147	150	25000	scvi	42	123	rep1_vs_original
L6b glutamatergic cortical neuron	0.9442622950819672	155	150	25000	scvi	42	123	rep1_vs_original
astrocyte	0.9900332225913622	151	150	25000	scvi	42	123	rep1_vs_original
caudal ganglionic eminence derived GABAergic cortical interneuron	0.9849246231155779	101	98	25000	scvi	42	123	rep1_vs_original
endothelial cell	1.0	21	21	25000	scvi	42	123	rep1_vs_original
lamp5 GABAergic cortical interneuron	0.9864864864864865	146	150	25000	scvi	42	123	rep1_vs_original
microglial cell	0.9933333333333333	150	150	25000	scvi	42	123	rep1_vs_original
near-projecting glutamatergic cortical neuron	0.9966555183946488	149	150	25000	scvi	42	123	rep1_vs_original
oligodendrocyte	0.9900332225913622	151	150	25000	scvi	42	123	rep1_vs_original
oligodendrocyte precursor cell	1.0	150	150	25000	scvi	42	123	rep1_vs_original
pericyte	0.9473684210526315	9	10	25000	scvi	42	123	rep1_vs_original
pvalb GABAergic cortical interneuron	0.9738562091503268	156	150	25000	scvi	42	123	rep1_vs_original
sst GABAergic cortical interneuron	0.9694915254237289	145	150	25000	scvi	42	123	rep1_vs_original
vascular leptomeningeal cell	0.8	2	3	25000	scvi	42	123	rep1_vs_original
vip GABAergic cortical interneuron	0.9733333333333334	150	150	25000	scvi	42	123	rep1_vs_original
L2/3-6 intratelencephalic projecting glutamatergic neuron	1.0	150	150	25000	scvi	42	123	rep2_vs_original
L5 extratelencephalic projecting glutamatergic cortical neuron	0.989247311827957	46	47	25000	scvi	42	123	rep2_vs_original
L6 corticothalamic-projecting glutamatergic cortical neuron	0.9383561643835616	142	150	25000	scvi	42	123	rep2_vs_original
L6b glutamatergic cortical neuron	0.9419354838709677	160	150	25000	scvi	42	123	rep2_vs_original
astrocyte	0.9900990099009901	153	150	25000	scvi	42	123	rep2_vs_original
caudal ganglionic eminence derived GABAergic cortical interneuron	0.9797979797979798	100	98	25000	scvi	42	123	rep2_vs_original
endothelial cell	1.0	21	21	25000	scvi	42	123	rep2_vs_original
lamp5 GABAergic cortical interneuron	0.98989898989899	147	150	25000	scvi	42	123	rep2_vs_original
microglial cell	0.9933333333333333	150	150	25000	scvi	42	123	rep2_vs_original
near-projecting glutamatergic cortical neuron	0.9966555183946488	149	150	25000	scvi	42	123	rep2_vs_original
oligodendrocyte	0.9899665551839465	149	150	25000	scvi	42	123	rep2_vs_original
oligodendrocyte precursor cell	1.0	150	150	25000	scvi	42	123	rep2_vs_original
pericyte	0.9473684210526315	9	10	25000	scvi	42	123	rep2_vs_original
pvalb GABAergic cortical interneuron	0.9738562091503268	156	150	25000	scvi	42	123	rep2_vs_original
sst GABAergic cortical interneuron	0.9694915254237289	145	150	25000	scvi	42	123	rep2_vs_original
vascular leptomeningeal cell	0.8	2	3	25000	scvi	42	123	rep2_vs_original
vip GABAergic cortical interneuron	0.98	150	150	25000	scvi	42	123	rep2_vs_original
