method	depth	cell_type	f1	count_rep1	count_rep2
scvi	50	L2/3-6 intratelencephalic projecting glutamatergic neuron	0.3940886699507389	808	410
scvi	50	L5 extratelencephalic projecting glutamatergic cortical neuron	0.0	0	0
scvi	50	L6 corticothalamic-projecting glutamatergic cortical neuron	0.0	3	0
scvi	50	L6b glutamatergic cortical neuron	0.0	0	1
scvi	50	astrocyte	0.3187250996015936	105	146
scvi	50	caudal ganglionic eminence derived GABAergic cortical interneuron	0.0	0	0
scvi	50	endothelial cell	0.0	0	0
scvi	50	lamp5 GABAergic cortical interneuron	0.0	0	4
scvi	50	microglial cell	0.0	10	6
scvi	50	near-projecting glutamatergic cortical neuron	0.0	0	0
scvi	50	oligodendrocyte	0.5518694049499737	727	1172
scvi	50	oligodendrocyte precursor cell	0.0	0	0
scvi	50	pericyte	0.0	0	0
scvi	50	pvalb GABAergic cortical interneuron	0.0	0	0
scvi	50	sst GABAergic cortical interneuron	0.211453744493392	266	188
scvi	50	vascular leptomeningeal cell	0.0	0	0
scvi	50	vip GABAergic cortical interneuron	0.0357142857142857	60	52
scvi	100	L2/3-6 intratelencephalic projecting glutamatergic neuron	0.5008183306055647	739	483
scvi	100	L5 extratelencephalic projecting glutamatergic cortical neuron	0.0	0	0
scvi	100	L6 corticothalamic-projecting glutamatergic cortical neuron	0.0377358490566037	43	10
scvi	100	L6b glutamatergic cortical neuron	0.0	3	3
scvi	100	astrocyte	0.5900621118012422	143	179
scvi	100	caudal ganglionic eminence derived GABAergic cortical interneuron	0.0	2	0
scvi	100	endothelial cell	0.0	0	1
scvi	100	lamp5 GABAergic cortical interneuron	0.0	0	8
scvi	100	microglial cell	0.4833333333333333	71	49
scvi	100	near-projecting glutamatergic cortical neuron	0.0	0	0
scvi	100	oligodendrocyte	0.4861773117254528	372	677
scvi	100	oligodendrocyte precursor cell	0.0	9	7
scvi	100	pericyte	0.0	0	0
scvi	100	pvalb GABAergic cortical interneuron	0.0	0	2
scvi	100	sst GABAergic cortical interneuron	0.4137022397891963	410	349
scvi	100	vascular leptomeningeal cell	0.0	0	0
scvi	100	vip GABAergic cortical interneuron	0.3768844221105528	187	211
scvi	250	L2/3-6 intratelencephalic projecting glutamatergic neuron	0.5967741935483871	454	414
scvi	250	L5 extratelencephalic projecting glutamatergic cortical neuron	0.0	0	0
scvi	250	L6 corticothalamic-projecting glutamatergic cortical neuron	0.308411214953271	136	78
scvi	250	L6b glutamatergic cortical neuron	0.1538461538461538	33	45
scvi	250	astrocyte	0.9164086687306502	153	170
scvi	250	caudal ganglionic eminence derived GABAergic cortical interneuron	0.1111111111111111	19	17
scvi	250	endothelial cell	0.7619047619047619	11	10
scvi	250	lamp5 GABAergic cortical interneuron	0.2133333333333333	28	47
scvi	250	microglial cell	0.9694915254237289	150	145
scvi	250	near-projecting glutamatergic cortical neuron	0.0	1	5
scvi	250	oligodendrocyte	0.8498583569405099	167	186
scvi	250	oligodendrocyte precursor cell	0.693069306930693	90	112
scvi	250	pericyte	0.4	3	2
scvi	250	pvalb GABAergic cortical interneuron	0.0	20	16
scvi	250	sst GABAergic cortical interneuron	0.5641025641025641	390	390
scvi	250	vascular leptomeningeal cell	0.0	0	0
scvi	250	vip GABAergic cortical interneuron	0.6156156156156156	324	342
scvi	500	L2/3-6 intratelencephalic projecting glutamatergic neuron	0.7357293868921776	242	231
scvi	500	L5 extratelencephalic projecting glutamatergic cortical neuron	0.0	2	1
scvi	500	L6 corticothalamic-projecting glutamatergic cortical neuron	0.5822222222222222	240	210
scvi	500	L6b glutamatergic cortical neuron	0.218978102189781	74	63
scvi	500	astrocyte	0.9836065573770492	153	152
scvi	500	caudal ganglionic eminence derived GABAergic cortical interneuron	0.3428571428571428	52	53
scvi	500	endothelial cell	0.95	19	21
scvi	500	lamp5 GABAergic cortical interneuron	0.6994535519125683	83	100
scvi	500	microglial cell	0.9899665551839464	149	150
scvi	500	near-projecting glutamatergic cortical neuron	0.2285714285714285	28	42
scvi	500	oligodendrocyte	0.976897689768977	150	153
scvi	500	oligodendrocyte precursor cell	0.935251798561151	135	143
scvi	500	pericyte	0.875	8	8
scvi	500	pvalb GABAergic cortical interneuron	0.6740331491712708	91	90
scvi	500	sst GABAergic cortical interneuron	0.6460032626427407	299	314
scvi	500	vascular leptomeningeal cell	0.0	0	0
scvi	500	vip GABAergic cortical interneuron	0.7529880478087649	254	248
scvi	1000	L2/3-6 intratelencephalic projecting glutamatergic neuron	0.8938547486033519	170	188
scvi	1000	L5 extratelencephalic projecting glutamatergic cortical neuron	0.0	0	2
scvi	1000	L6 corticothalamic-projecting glutamatergic cortical neuron	0.7441860465116279	243	230
