name	method	depth	realtime_seconds	realtime	peak_rss
PREDICT_SCVI (13)	scvi	10000	21.1	21.1s	2.2 GB
PREDICT_SCVI (15)	scvi	10000	44.5	44.5s	2.2 GB
PREDICT_SCVI (21)	scvi	100000	21.4	21.4s	2.2 GB
PREDICT_SCVI (6)	scvi	1000	20.8	20.8s	2.2 GB
PREDICT_SCVI (16)	scvi	15000	22.8	22.8s	2.2 GB
PREDICT_SCVI (5)	scvi	5000	24.0	24s	2.2 GB
PREDICT_SCVI (2)	scvi	100	23.4	23.4s	2.2 GB
PREDICT_SCVI (19)	scvi	50000	24.8	24.8s	2.2 GB
PREDICT_SCVI (4)	scvi	100	17.3	17.3s	2.2 GB
PREDICT_SCVI (17)	scvi	50000	17.5	17.5s	2.2 GB
PREDICT_SCVI (7)	scvi	500	17.2	17.2s	2.2 GB
PREDICT_SCVI (20)	scvi	5000	18.9	18.9s	2.2 GB
PREDICT_SCVI (1)	scvi	250	16.8	16.8s	2.2 GB
PREDICT_SCVI (14)	scvi	100000	19.2	19.2s	2.2 GB
PREDICT_SCVI (12)	scvi	25000	16.9	16.9s	2.2 GB
PREDICT_SCVI (9)	scvi	1000	16.5	16.5s	2.2 GB
PREDICT_SCVI (18)	scvi	25000	17.8	17.8s	2.2 GB
PREDICT_SCVI (8)	scvi	250	17.8	17.8s	2.2 GB
PREDICT_SCVI (10)	scvi	50	17.3	17.3s	2.2 GB
PREDICT_SCVI (11)	scvi	50	17.8	17.8s	2.2 GB
PREDICT_SCVI (3)	scvi	500	16.5	16.5s	2.2 GB
PREDICT_SCVI (22)	scvi	15000	15.5	15.5s	2.2 GB
PREDICT_SEURAT (13)	seurat	10000	61.0	1m 1s	4.8 GB
PREDICT_SEURAT (19)	seurat	50000	65.0	1m 5s	4.9 GB
PREDICT_SEURAT (3)	seurat	100	46.5	46.5s	3.4 GB
PREDICT_SEURAT (15)	seurat	15000	51.3	51.3s	4.7 GB
PREDICT_SEURAT (4)	seurat	1000	89.0	1m 29s	4 GB
PREDICT_SEURAT (9)	seurat	5000	97.0	1m 37s	4.6 GB
PREDICT_SEURAT (5)	seurat	500	98.0	1m 38s	3.9 GB
PREDICT_SEURAT (2)	seurat	1000	95.0	1m 35s	4.1 GB
PREDICT_SEURAT (16)	seurat	5000	97.0	1m 37s	4.6 GB
PREDICT_SEURAT (7)	seurat	100	86.0	1m 26s	3.9 GB
PREDICT_SEURAT (18)	seurat	25000	62.0	1m 2s	4.6 GB
PREDICT_SEURAT (17)	seurat	100000	66.0	1m 6s	5.1 GB
PREDICT_SEURAT (10)	seurat	50	81.0	1m 21s	3.4 GB
PREDICT_SEURAT (11)	seurat	50	81.0	1m 21s	3.3 GB
PREDICT_SEURAT (8)	seurat	500	61.0	1m 1s	3.8 GB
PREDICT_SEURAT (6)	seurat	250	85.0	1m 25s	4 GB
PREDICT_SEURAT (1)	seurat	250	82.0	1m 22s	4 GB
PREDICT_SEURAT (12)	seurat	25000	93.0	1m 33s	4.6 GB
PREDICT_SEURAT (21)	seurat	100000	69.0	1m 9s	5.1 GB
PREDICT_SEURAT (14)	seurat	10000	92.0	1m 32s	4.8 GB
PREDICT_SEURAT (20)	seurat	50000	92.0	1m 32s	4.9 GB
PREDICT_SEURAT (22)	seurat	15000	50.5	50.5s	4.7 GB
