method	seed1	seed2	min_depth_for_95%_ari	max_stability_ari	max_rep1_vs_original_ari	max_rep2_vs_original_ari	min_depth_tested	max_depth_tested
seurat	42	123	5000	0.9944874542038692	0.9720225073662754	0.9701243042342758	50	100000
scvi	42	123	10000	0.9863303929609336	0.9589416933742012	0.961517888229684	50	100000
