cell_type	f1	count_rep1	count_rep2	depth	method	seed1	seed2	comparison
L2/3-6 intratelencephalic projecting glutamatergic neuron	0.990228013029316	154	153	15000	seurat	42	123	rep1_vs_rep2
L5 extratelencephalic projecting glutamatergic cortical neuron	0.989247311827957	47	46	15000	seurat	42	123	rep1_vs_rep2
L6 corticothalamic-projecting glutamatergic cortical neuron	0.9616724738675958	143	144	15000	seurat	42	123	rep1_vs_rep2
L6b glutamatergic cortical neuron	0.9620253164556962	158	158	15000	seurat	42	123	rep1_vs_rep2
astrocyte	1.0	148	148	15000	seurat	42	123	rep1_vs_rep2
caudal ganglionic eminence derived GABAergic cortical interneuron	0.98989898989899	98	100	15000	seurat	42	123	rep1_vs_rep2
endothelial cell	1.0	21	21	15000	seurat	42	123	rep1_vs_rep2
lamp5 GABAergic cortical interneuron	0.9966555183946488	150	149	15000	seurat	42	123	rep1_vs_rep2
microglial cell	1.0	150	150	15000	seurat	42	123	rep1_vs_rep2
near-projecting glutamatergic cortical neuron	0.9966555183946488	149	150	15000	seurat	42	123	rep1_vs_rep2
oligodendrocyte	1.0	149	149	15000	seurat	42	123	rep1_vs_rep2
oligodendrocyte precursor cell	0.9966777408637874	150	151	15000	seurat	42	123	rep1_vs_rep2
pericyte	1.0	10	10	15000	seurat	42	123	rep1_vs_rep2
pvalb GABAergic cortical interneuron	0.9967213114754099	153	152	15000	seurat	42	123	rep1_vs_rep2
sst GABAergic cortical interneuron	0.9965870307167235	146	147	15000	seurat	42	123	rep1_vs_rep2
vascular leptomeningeal cell	1.0	3	3	15000	seurat	42	123	rep1_vs_rep2
vip GABAergic cortical interneuron	0.9932885906040269	150	148	15000	seurat	42	123	rep1_vs_rep2
L2/3-6 intratelencephalic projecting glutamatergic neuron	0.9868421052631579	154	150	15000	seurat	42	123	rep1_vs_original
L5 extratelencephalic projecting glutamatergic cortical neuron	1.0	47	47	15000	seurat	42	123	rep1_vs_original
L6 corticothalamic-projecting glutamatergic cortical neuron	0.9351535836177475	143	150	15000	seurat	42	123	rep1_vs_original
L6b glutamatergic cortical neuron	0.935064935064935	158	150	15000	seurat	42	123	rep1_vs_original
astrocyte	0.9932885906040269	148	150	15000	seurat	42	123	rep1_vs_original
caudal ganglionic eminence derived GABAergic cortical interneuron	1.0	98	98	15000	seurat	42	123	rep1_vs_original
endothelial cell	1.0	21	21	15000	seurat	42	123	rep1_vs_original
lamp5 GABAergic cortical interneuron	1.0	150	150	15000	seurat	42	123	rep1_vs_original
microglial cell	0.9933333333333333	150	150	15000	seurat	42	123	rep1_vs_original
near-projecting glutamatergic cortical neuron	0.9966555183946488	149	150	15000	seurat	42	123	rep1_vs_original
oligodendrocyte	0.9832775919732442	149	150	15000	seurat	42	123	rep1_vs_original
oligodendrocyte precursor cell	1.0	150	150	15000	seurat	42	123	rep1_vs_original
pericyte	1.0	10	10	15000	seurat	42	123	rep1_vs_original
pvalb GABAergic cortical interneuron	0.9900990099009901	153	150	15000	seurat	42	123	rep1_vs_original
sst GABAergic cortical interneuron	0.9864864864864865	146	150	15000	seurat	42	123	rep1_vs_original
vascular leptomeningeal cell	1.0	3	3	15000	seurat	42	123	rep1_vs_original
vip GABAergic cortical interneuron	1.0	150	150	15000	seurat	42	123	rep1_vs_original
L2/3-6 intratelencephalic projecting glutamatergic neuron	0.9900990099009901	153	150	15000	seurat	42	123	rep2_vs_original
L5 extratelencephalic projecting glutamatergic cortical neuron	0.989247311827957	46	47	15000	seurat	42	123	rep2_vs_original
L6 corticothalamic-projecting glutamatergic cortical neuron	0.9387755102040817	144	150	15000	seurat	42	123	rep2_vs_original
L6b glutamatergic cortical neuron	0.9415584415584416	158	150	15000	seurat	42	123	rep2_vs_original
astrocyte	0.9932885906040269	148	150	15000	seurat	42	123	rep2_vs_original
caudal ganglionic eminence derived GABAergic cortical interneuron	0.98989898989899	100	98	15000	seurat	42	123	rep2_vs_original
endothelial cell	1.0	21	21	15000	seurat	42	123	rep2_vs_original
lamp5 GABAergic cortical interneuron	0.9966555183946488	149	150	15000	seurat	42	123	rep2_vs_original
microglial cell	0.9933333333333333	150	150	15000	seurat	42	123	rep2_vs_original
near-projecting glutamatergic cortical neuron	0.9933333333333333	150	150	15000	seurat	42	123	rep2_vs_original
oligodendrocyte	0.9832775919732442	149	150	15000	seurat	42	123	rep2_vs_original
oligodendrocyte precursor cell	0.9966777408637874	151	150	15000	seurat	42	123	rep2_vs_original
pericyte	1.0	10	10	15000	seurat	42	123	rep2_vs_original
pvalb GABAergic cortical interneuron	0.9867549668874173	152	150	15000	seurat	42	123	rep2_vs_original
sst GABAergic cortical interneuron	0.9831649831649831	147	150	15000	seurat	42	123	rep2_vs_original
vascular leptomeningeal cell	1.0	3	3	15000	seurat	42	123	rep2_vs_original
vip GABAergic cortical interneuron	0.9932885906040269	148	150	15000	seurat	42	123	rep2_vs_original
