cell_type	f1	count_rep1	count_rep2	depth	method	seed1	seed2	comparison
L2/3-6 intratelencephalic projecting glutamatergic neuron	0.8938547486033519	170	188	1000	scvi	123	42	rep1_vs_rep2
L5 extratelencephalic projecting glutamatergic cortical neuron	0.0	0	2	1000	scvi	123	42	rep1_vs_rep2
L6 corticothalamic-projecting glutamatergic cortical neuron	0.7441860465116279	243	230	1000	scvi	123	42	rep1_vs_rep2
L6b glutamatergic cortical neuron	0.5492227979274611	88	105	1000	scvi	123	42	rep1_vs_rep2
astrocyte	0.9869281045751634	153	153	1000	scvi	123	42	rep1_vs_rep2
caudal ganglionic eminence derived GABAergic cortical interneuron	0.6950354609929078	68	73	1000	scvi	123	42	rep1_vs_rep2
endothelial cell	1.0	21	21	1000	scvi	123	42	rep1_vs_rep2
lamp5 GABAergic cortical interneuron	0.9069767441860465	134	124	1000	scvi	123	42	rep1_vs_rep2
microglial cell	0.9966777408637874	150	151	1000	scvi	123	42	rep1_vs_rep2
near-projecting glutamatergic cortical neuron	0.7661691542288557	95	106	1000	scvi	123	42	rep1_vs_rep2
oligodendrocyte	0.9932885906040269	150	148	1000	scvi	123	42	rep1_vs_rep2
oligodendrocyte precursor cell	0.9966555183946488	150	149	1000	scvi	123	42	rep1_vs_rep2
pericyte	1.0	9	9	1000	scvi	123	42	rep1_vs_rep2
pvalb GABAergic cortical interneuron	0.9045936395759717	145	138	1000	scvi	123	42	rep1_vs_rep2
sst GABAergic cortical interneuron	0.7738693467336684	214	184	1000	scvi	123	42	rep1_vs_rep2
vascular leptomeningeal cell	0.0	0	0	1000	scvi	123	42	rep1_vs_rep2
vip GABAergic cortical interneuron	0.8578811369509044	189	198	1000	scvi	123	42	rep1_vs_rep2
L2/3-6 intratelencephalic projecting glutamatergic neuron	0.91875	170	150	1000	scvi	123	42	rep1_vs_original
L5 extratelencephalic projecting glutamatergic cortical neuron	0.0	0	47	1000	scvi	123	42	rep1_vs_original
L6 corticothalamic-projecting glutamatergic cortical neuron	0.7379134860050891	243	150	1000	scvi	123	42	rep1_vs_original
L6b glutamatergic cortical neuron	0.6554621848739496	88	150	1000	scvi	123	42	rep1_vs_original
astrocyte	0.976897689768977	153	150	1000	scvi	123	42	rep1_vs_original
caudal ganglionic eminence derived GABAergic cortical interneuron	0.7349397590361446	68	98	1000	scvi	123	42	rep1_vs_original
endothelial cell	1.0	21	21	1000	scvi	123	42	rep1_vs_original
lamp5 GABAergic cortical interneuron	0.9225352112676056	134	150	1000	scvi	123	42	rep1_vs_original
microglial cell	0.9933333333333333	150	150	1000	scvi	123	42	rep1_vs_original
near-projecting glutamatergic cortical neuron	0.7755102040816326	95	150	1000	scvi	123	42	rep1_vs_original
oligodendrocyte	0.9866666666666667	150	150	1000	scvi	123	42	rep1_vs_original
oligodendrocyte precursor cell	1.0	150	150	1000	scvi	123	42	rep1_vs_original
pericyte	0.9473684210526315	9	10	1000	scvi	123	42	rep1_vs_original
pvalb GABAergic cortical interneuron	0.9355932203389831	145	150	1000	scvi	123	42	rep1_vs_original
sst GABAergic cortical interneuron	0.7857142857142857	214	150	1000	scvi	123	42	rep1_vs_original
vascular leptomeningeal cell	0.0	0	3	1000	scvi	123	42	rep1_vs_original
vip GABAergic cortical interneuron	0.8672566371681416	189	150	1000	scvi	123	42	rep1_vs_original
L2/3-6 intratelencephalic projecting glutamatergic neuron	0.8757396449704142	188	150	1000	scvi	123	42	rep2_vs_original
L5 extratelencephalic projecting glutamatergic cortical neuron	0.04081632653061224	2	47	1000	scvi	123	42	rep2_vs_original
L6 corticothalamic-projecting glutamatergic cortical neuron	0.7210526315789474	230	150	1000	scvi	123	42	rep2_vs_original
L6b glutamatergic cortical neuron	0.6980392156862745	105	150	1000	scvi	123	42	rep2_vs_original
astrocyte	0.9900990099009901	153	150	1000	scvi	123	42	rep2_vs_original
caudal ganglionic eminence derived GABAergic cortical interneuron	0.7719298245614035	73	98	1000	scvi	123	42	rep2_vs_original
endothelial cell	1.0	21	21	1000	scvi	123	42	rep2_vs_original
lamp5 GABAergic cortical interneuron	0.8978102189781022	124	150	1000	scvi	123	42	rep2_vs_original
microglial cell	0.9966777408637874	151	150	1000	scvi	123	42	rep2_vs_original
near-projecting glutamatergic cortical neuron	0.828125	106	150	1000	scvi	123	42	rep2_vs_original
oligodendrocyte	0.9932885906040269	148	150	1000	scvi	123	42	rep2_vs_original
oligodendrocyte precursor cell	0.9966555183946488	149	150	1000	scvi	123	42	rep2_vs_original
pericyte	0.9473684210526315	9	10	1000	scvi	123	42	rep2_vs_original
pvalb GABAergic cortical interneuron	0.9027777777777778	138	150	1000	scvi	123	42	rep2_vs_original
sst GABAergic cortical interneuron	0.8562874251497006	184	150	1000	scvi	123	42	rep2_vs_original
vascular leptomeningeal cell	0.0	0	3	1000	scvi	123	42	rep2_vs_original
vip GABAergic cortical interneuron	0.8563218390804598	198	150	1000	scvi	123	42	rep2_vs_original
