cell_type	f1	count_rep1	count_rep2	depth	method	seed1	seed2	comparison
L2/3-6 intratelencephalic projecting glutamatergic neuron	0.990228013029316	155	152	5000	seurat	42	123	rep1_vs_rep2
L5 extratelencephalic projecting glutamatergic cortical neuron	0.989247311827957	46	47	5000	seurat	42	123	rep1_vs_rep2
L6 corticothalamic-projecting glutamatergic cortical neuron	0.962457337883959	145	148	5000	seurat	42	123	rep1_vs_rep2
L6b glutamatergic cortical neuron	0.9644012944983819	156	153	5000	seurat	42	123	rep1_vs_rep2
astrocyte	0.9932432432432432	147	149	5000	seurat	42	123	rep1_vs_rep2
caudal ganglionic eminence derived GABAergic cortical interneuron	1.0	99	99	5000	seurat	42	123	rep1_vs_rep2
endothelial cell	1.0	21	21	5000	seurat	42	123	rep1_vs_rep2
lamp5 GABAergic cortical interneuron	0.9899665551839465	149	150	5000	seurat	42	123	rep1_vs_rep2
microglial cell	1.0	150	150	5000	seurat	42	123	rep1_vs_rep2
near-projecting glutamatergic cortical neuron	0.9966555183946488	149	150	5000	seurat	42	123	rep1_vs_rep2
oligodendrocyte	0.9932885906040269	149	149	5000	seurat	42	123	rep1_vs_rep2
oligodendrocyte precursor cell	0.9966777408637874	150	151	5000	seurat	42	123	rep1_vs_rep2
pericyte	1.0	10	10	5000	seurat	42	123	rep1_vs_rep2
pvalb GABAergic cortical interneuron	0.9935064935064936	153	155	5000	seurat	42	123	rep1_vs_rep2
sst GABAergic cortical interneuron	0.9896907216494846	147	144	5000	seurat	42	123	rep1_vs_rep2
vascular leptomeningeal cell	1.0	3	3	5000	seurat	42	123	rep1_vs_rep2
vip GABAergic cortical interneuron	0.9932885906040269	150	148	5000	seurat	42	123	rep1_vs_rep2
L2/3-6 intratelencephalic projecting glutamatergic neuron	0.9836065573770492	155	150	5000	seurat	42	123	rep1_vs_original
L5 extratelencephalic projecting glutamatergic cortical neuron	0.989247311827957	46	47	5000	seurat	42	123	rep1_vs_original
L6 corticothalamic-projecting glutamatergic cortical neuron	0.9355932203389831	145	150	5000	seurat	42	123	rep1_vs_original
L6b glutamatergic cortical neuron	0.9411764705882353	156	150	5000	seurat	42	123	rep1_vs_original
astrocyte	0.98989898989899	147	150	5000	seurat	42	123	rep1_vs_original
caudal ganglionic eminence derived GABAergic cortical interneuron	0.9949238578680203	99	98	5000	seurat	42	123	rep1_vs_original
endothelial cell	1.0	21	21	5000	seurat	42	123	rep1_vs_original
lamp5 GABAergic cortical interneuron	0.9966555183946488	149	150	5000	seurat	42	123	rep1_vs_original
microglial cell	0.9933333333333333	150	150	5000	seurat	42	123	rep1_vs_original
near-projecting glutamatergic cortical neuron	0.9966555183946488	149	150	5000	seurat	42	123	rep1_vs_original
oligodendrocyte	0.9832775919732442	149	150	5000	seurat	42	123	rep1_vs_original
oligodendrocyte precursor cell	1.0	150	150	5000	seurat	42	123	rep1_vs_original
pericyte	1.0	10	10	5000	seurat	42	123	rep1_vs_original
pvalb GABAergic cortical interneuron	0.9900990099009901	153	150	5000	seurat	42	123	rep1_vs_original
sst GABAergic cortical interneuron	0.9831649831649831	147	150	5000	seurat	42	123	rep1_vs_original
vascular leptomeningeal cell	1.0	3	3	5000	seurat	42	123	rep1_vs_original
vip GABAergic cortical interneuron	0.9933333333333333	150	150	5000	seurat	42	123	rep1_vs_original
L2/3-6 intratelencephalic projecting glutamatergic neuron	0.9933774834437086	152	150	5000	seurat	42	123	rep2_vs_original
L5 extratelencephalic projecting glutamatergic cortical neuron	1.0	47	47	5000	seurat	42	123	rep2_vs_original
L6 corticothalamic-projecting glutamatergic cortical neuron	0.9463087248322147	148	150	5000	seurat	42	123	rep2_vs_original
L6b glutamatergic cortical neuron	0.9504950495049505	153	150	5000	seurat	42	123	rep2_vs_original
astrocyte	0.9966555183946488	149	150	5000	seurat	42	123	rep2_vs_original
caudal ganglionic eminence derived GABAergic cortical interneuron	0.9949238578680203	99	98	5000	seurat	42	123	rep2_vs_original
endothelial cell	1.0	21	21	5000	seurat	42	123	rep2_vs_original
lamp5 GABAergic cortical interneuron	0.9933333333333333	150	150	5000	seurat	42	123	rep2_vs_original
microglial cell	0.9933333333333333	150	150	5000	seurat	42	123	rep2_vs_original
near-projecting glutamatergic cortical neuron	0.9933333333333333	150	150	5000	seurat	42	123	rep2_vs_original
oligodendrocyte	0.9899665551839465	149	150	5000	seurat	42	123	rep2_vs_original
oligodendrocyte precursor cell	0.9966777408637874	151	150	5000	seurat	42	123	rep2_vs_original
pericyte	1.0	10	10	5000	seurat	42	123	rep2_vs_original
pvalb GABAergic cortical interneuron	0.9836065573770492	155	150	5000	seurat	42	123	rep2_vs_original
sst GABAergic cortical interneuron	0.9795918367346939	144	150	5000	seurat	42	123	rep2_vs_original
vascular leptomeningeal cell	1.0	3	3	5000	seurat	42	123	rep2_vs_original
vip GABAergic cortical interneuron	0.9932885906040269	148	150	5000	seurat	42	123	rep2_vs_original
